are:	parameters		p	q	r	s
-122.7267	47.149	51.90	0.865928767549	0.156037023679	-122.730417819	46.9929835237
-122.7295	47.1843	52.30	0.863452317531	0.191301468421	-122.734048035	46.9930235955
-122.7293	47.1802	51.39	0.863654725694	0.1872042121	-122.733751326	46.9930203246
-119.4323	46.7383	0.04	3.12864324957	-0.170489692933	-119.417764974	46.908499357
-120.9283	46.7853	6.56	2.1027720173	-0.173475739577	-120.91833915	46.958642039
-120.9318	46.7678	8.48	2.10106232767	-0.191056194713	-120.920842161	46.9587092316
-121.7768	46.8493	0.02	1.52029081942	-0.129128329947	-121.771430453	46.9783762254
-121.7648	46.8558	0.45	1.52830914691	-0.122397504436	-121.759682906	46.9781475877
-119.6235	46.8897	15.68	2.98937087838	-0.026798159713	-119.62131046	46.9164563719
-120.9013	46.7708	8.05	2.12181884566	-0.187236680867	-120.890454746	46.9578897903
-121.7645	46.8397	1.35	1.528973516	-0.13848509952	-121.758709552	46.9781285897
-121.7597	46.8517	0.94	1.53191251627	-0.126396235357	-121.754403689	46.9780444485
-121.7595	46.8532	1.17	1.53200635083	-0.12489293806	-121.754266215	46.9780417594
-123.9125	46.9402	34.02	0.0597416344867	-0.0597666373918	-123.912402121	46.9999666001
-121.7883	46.8587	0.04	1.51216356385	-0.11995463844	-121.783337692	46.9786067431
-121.7615	46.8517	1.93	1.53068201575	-0.126431414491	-121.756206466	46.9780796964
-121.9308	46.8547	8.53	1.41486385767	-0.126614910218	-121.925899246	46.981270653
-121.703	46.8773	1.07	1.56992246756	-0.0996846264736	-121.698717401	46.9769417124
-121.7003	46.8723	0.67	1.57191403047	-0.10462834175	-121.695799735	46.9768831893
-121.706	46.8787	1.07	1.56783167174	-0.0983452976941	-121.701780451	46.9770030718
-121.9388	46.9145	12.27	1.40782191968	-0.0669797893328	-121.936217495	46.9814565836
-120.8555	46.8973	5.41	2.14808845015	-0.0595891993414	-120.851997548	46.9568411738
-121.5568	46.919	3.09	1.66851371535	-0.0549823434814	-121.554287763	46.9739555882
-121.5468	46.9105	4.18	1.6756067881	-0.063264794243	-121.543897511	46.9737337513
-121.9722	47.0947	0.97	1.38035118766	0.112564577322	-121.976469858	46.9821730418
-121.7678	46.841	0.74	1.52668005699	-0.137249976789	-121.762069656	46.9781941374
-121.9522	46.8112	7.56	1.40137128537	-0.170484501831	-121.945669394	46.9816260884
-122.1875	47.004	7.49	1.23591924643	0.0182970182847	-122.188120428	46.9857078759
